Time,Seconds,Minutes,Days,,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4
109200,,5.00816190006286E+017,,,,,,3.10148162813689E+017,9.22212827362708E+016,898808905452285,,,
110592,5.03907197084479E+017,,,,3.11753688792352E+017,9.28434649866324E+016,899332180476787,,,,,,
110880,,5.01542195722193E+017,,,,,,3.10277441651404E+017,9.22235219374454E+016,898808977120988,,,
112320,5.04641214150423E+017,,,,3.11884109707071E+017,9.28457110910202E+016,899332242778926,,,,,,
112560,,5.02252590301953E+017,,,,,,3.1040359713057E+017,9.22256918824234E+016,898809035038060,,,
114048,5.05359158577356E+017,,,,3.12011358504803E+017,9.28478917180073E+016,899332292821139,,,,,,
114240,,5.02947892713808E+017,,,,,,3.10526783897976E+017,9.22278016313206E+016,898809081842134,,,
115776,5.06061576941944E+017,,,,3.12135596199054E+017,9.28500158268413E+016,899332333015957,,,,,,
115920,,5.03628601628807E+017,,,,,,3.10647148481827E+017,9.2229859243669E+016,898809119665548,,,
117504,5.06748994025585E+017,,,,3.12256975187306E+017,9.28520913599228E+016,899332365301165,,,,,,
117600,,5.0429519640583E+017,,,,,,3.1076482979397E+017,9.22318718880584E+016,898809150231490,,,
119232,5.07421913885237E+017,,,,3.1237563979188E+017,9.28541253571009E+016,899332391233233,,,,,,
119280,,5.04948138012216E+017,,,,,,3.10879959594075E+017,9.22338459396365E+016,898809174932507,,,
120960,5.08080820853834E+017,,,,3.1249172675927E+017,9.28561240569978E+016,899332412062343,,,,,,
120960,,5.05587869885674E+017,,,,,,3.10992662919207E+017,9.22357870668397E+016,898809194893948,,,
122640,,5.06214818742535E+017,,,,,,3.11103058481879E+017,9.22377003085639E+016,898809211025233,,,
122688,5.08726180476518E+017,,,,3.12605365721768E+017,9.28580929868643E+016,899332428792663,,,,,,
124320,,5.06829395336876E+017,,,,,,3.11211259039369E+017,9.22395901428467E+016,898809224061283,,,
124416,5.09358440388289E+017,,,,3.12716679624798E+017,9.28600370422819E+016,899332442230760,,,,,,
126000,,5.07431995174549E+017,,,,,,3.11317371736796E+017,9.22414605480091E+016,898809234596005,,,
126144,5.09978031137983E+017,,,,3.12825785123026E+017,9.28619605578804E+016,899332453024485,,,,,,
127680,,5.08022999185731E+017,,,,,,3.114214984262E+017,9.22433150570964E+016,898809243109348,,,
127872,5.1058536696307E+017,,,,3.12932792947993E+017,9.28638673700933E+016,899332461694202,,,,,,
129360,,5.0860277435925E+017,,,,,,3.11523735963664E+017,9.22451568063593E+016,898809249989170,,,
129600,5.11180846519144E+017,,,,3.1303780824975E+017,9.28657608728619E+016,899332468657876,,,,,,
