Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
6916,5.543613514363683e+17,3.2407646587505146e+17,9.26433731602598e+16,898809278964578.6,0,0
6944,5.5453599604014957e+17,3.241509081360935e+17,9.26460561000238e+16,898809278964578.6,0,0
6972,5.5471027673980736e+17,3.242253739932965e+17,9.264874023748341e+16,898809278964578.6,0,0
7000,5.548841966690568e+17,3.242998627297164e+17,9.265142553913429e+16,898809278964578.6,0,0
7028,5.5505775890223974e+17,3.2437437363115974e+17,9.265411197176536e+16,898809278964578.6,0,0
7056,5.55230966455712e+17,3.244489059862771e+17,9.26567995024565e+16,898809278964578.6,0,0
7084,5.554038222891916e+17,3.2452345908665146e+17,9.265948809857613e+16,898809278964578.6,0,0
7112,5.555763293070718e+17,3.245980322268826e+17,9.266217772777885e+16,898809278964578.6,0,0
7140,5.557484903596973e+17,3.246726247046668e+17,9.266486835800322e+16,898809278964578.6,0,0
7168,5.559203082446096e+17,3.2474723582087194e+17,9.266755995746939e+16,898809278964578.6,0,0
7196,5.560917857077546e+17,3.2482186487960915e+17,9.267025249467686e+16,898809278964578.6,0,0
7224,5.5626292544466374e+17,3.2489651118830086e+17,9.267294593840224e+16,898809278964578.6,0,0
7252,5.5643373010159834e+17,3.249711740577439e+17,9.267564025769683e+16,898809278964578.6,0,0
7280,5.5660420227666925e+17,3.250458528021703e+17,9.267833542188469e+16,898809278964578.6,0,0
7308,5.567743445209223e+17,3.2512054673930406e+17,9.268103140056018e+16,898809278964578.6,0,0
7336,5.569441593393994e+17,3.25195255190415e+17,9.26837281635859e+16,898809278964578.6,0,0
7364,5.5711364919216864e+17,3.25269977480368e+17,9.268642568109048e+16,898809278964578.6,0,0
7392,5.57282816495331e+17,3.2534471293767194e+17,9.268912392346646e+16,898809278964578.6,0,0
7420,5.5745166362199654e+17,3.254194608945226e+17,9.26918228613681e+16,898809278964578.6,0,0
7448,5.57620192903242e+17,3.2549422068684525e+17,9.26945224657092e+16,898809278964578.6,0,0
7476,5.577884066290363e+17,3.2556899165433286e+17,9.269722270766125e+16,898809278964578.6,0,0
7504,5.5795630704914835e+17,3.256437731404822e+17,9.269992355865106e+16,898809278964578.6,0,0
7532,5.581238963740285e+17,3.2571856449262854e+17,9.270262499035885e+16,898809278964578.6,0,0
7560,5.5829117677566874e+17,3.257933650619758e+17,9.270532697471603e+16,898809278964578.6,0,0
7588,5.584581503884403e+17,3.258681742036263e+17,9.27080294839035e+16,898809278964578.6,0,0
7616,5.586248193099116e+17,3.2594299127660704e+17,9.271073249034925e+16,898809278964578.6,0,0
7644,5.5879118560164384e+17,3.260178156438948e+17,9.27134359667266e+16,898809278964578.6,0,0
7672,5.5895725128996845e+17,3.260926466724384e+17,9.271613988595208e+16,898809278964578.6,0,0
7700,5.59123018366743e+17,3.2616748373317946e+17,9.271884422118355e+16,898809278964578.6,0,0
7728,5.592884887900904e+17,3.262423262010711e+17,9.272154894581819e+16,898809278964578.6,0,0
7756,5.5945366448511917e+17,3.2631717345509485e+17,9.272425403349058e+16,898809278964578.6,0,0
7784,5.596185473446248e+17,3.2639202487827584e+17,9.272695945807074e+16,898809278964578.6,0,0
7812,5.597831392297746e+17,3.2646687985769606e+17,9.272966519366224e+16,898809278964578.6,0,0
7840,5.599474419707769e+17,3.2654173778450726e+17,9.27323712146004e+16,898809278964578.6,0,0
7868,5.601114573675322e+17,3.266165980539393e+17,9.273507749545029e+16,898809278964578.6,0,0
7896,5.602751871902693e+17,3.2669146006531136e+17,9.273778401100483e+16,898809278964578.6,0,0
